Plan Day,WONUM,EmployeeID,Start Date/Time,Finish Date/Time
1,0016719068,4607,2021-03-08 08:00:00,2021-03-08 16:00:00
1,0015489535,24126,2021-03-08 08:00:00,2021-03-08 16:00:00
1,0014771443,24348,2021-03-08 08:00:00,2021-03-08 16:00:00
1,0015489195,88833,2021-03-08 08:00:00,2021-03-08 16:00:00
1,0014466115,13031,2021-03-08 08:00:00,2021-03-08 16:00:00
1,0015403246,9019,2021-03-08 08:00:00,2021-03-08 16:00:00
1,0016753321,87163,2021-03-08 08:00:00,2021-03-08 11:00:00
1,0016511594,87163,2021-03-08 13:00:00,2021-03-08 13:00:00
1,0016718971,87163,2021-03-08 14:00:00,2021-03-08 14:00:00
1,0016722365,87163,2021-03-08 15:00:00,2021-03-08 15:00:00
1,0015489534,24755,2021-03-08 08:00:00,2021-03-08 16:00:00
1,0016596789,13009,2021-03-08 08:00:00,2021-03-08 16:00:00
1,0015489532,21101,2021-03-08 08:00:00,2021-03-08 16:00:00
1,0016756393,17216,2021-03-08 08:00:00,2021-03-08 08:00:00
1,0016617582,17216,2021-03-08 09:00:00,2021-03-08 10:00:00
1,0016661548,17216,2021-03-08 11:00:00,2021-03-08 16:00:00
1,0015369030,16179,2021-03-08 08:00:00,2021-03-08 16:00:00
1,0016524437,1197,2021-03-09 08:00:00,2021-03-09 16:00:00
1,0015806808,1823,2021-03-09 08:00:00,2021-03-09 16:00:00
1,0016150373,24752,2021-03-09 08:00:00,2021-03-09 16:00:00
1,0016492832,15492,2021-03-09 08:00:00,2021-03-09 16:00:00
2,0016417343,9030,2021-03-09 08:00:00,2021-03-09 16:00:00
1,0016503179,33142,2021-03-09 08:00:00,2021-03-09 16:00:00
1,0016510804,7328,2021-03-09 08:00:00,2021-03-09 16:00:00
1,0016575715,7270,2021-03-09 08:00:00,2021-03-09 16:00:00
1,0016564556,24441,2021-03-09 08:00:00,2021-03-09 16:00:00
1,0016581128,16743,2021-03-09 08:00:00,2021-03-09 16:00:00
1,0016403429,20602,2021-03-09 08:00:00,2021-03-09 16:00:00
1,0016403433,18004,2021-03-09 08:00:00,2021-03-09 16:00:00
1,0016403432,4203,2021-03-09 08:00:00,2021-03-09 16:00:00
1,0016403433,30885,2021-03-09 08:00:00,2021-03-09 16:00:00
1,0016403429,601,2021-03-09 08:00:00,2021-03-09 16:00:00
1,0016403432,1775,2021-03-09 08:00:00,2021-03-09 16:00:00
5,0016464834,22201,2021-03-09 08:00:00,2021-03-09 16:00:00
1,0016403432,24346,2021-03-09 08:00:00,2021-03-09 16:00:00
1,0016403429,22336,2021-03-09 08:00:00,2021-03-09 16:00:00
1,0016403433,4443,2021-03-09 08:00:00,2021-03-09 16:00:00
5,0016464834,25803,2021-03-09 08:00:00,2021-03-09 16:00:00
1,0016581127,13945,2021-03-09 08:00:00,2021-03-09 16:00:00
1,0016419764,30192,2021-03-09 08:00:00,2021-03-09 16:00:00
1,0016315625,24327,2021-03-09 08:00:00,2021-03-09 16:00:00
1,0015785448,21572,2021-03-09 08:00:00,2021-03-09 16:00:00
2,0016523559,19743,2021-03-09 08:00:00,2021-03-09 16:00:00
1,0015654847,2102,2021-03-09 08:00:00,2021-03-09 16:00:00
1,0016581115,4607,2021-03-09 08:00:00,2021-03-09 16:00:00
1,0016551745,24126,2021-03-09 08:00:00,2021-03-09 16:00:00
1,0016346106,24348,2021-03-09 08:00:00,2021-03-09 16:00:00
1,0016228295,88833,2021-03-09 08:00:00,2021-03-09 16:00:00
2,0014466115,13031,2021-03-09 08:00:00,2021-03-09 16:00:00
2,0016417343,9019,2021-03-09 08:00:00,2021-03-09 16:00:00
1,0016564556,87163,2021-03-09 08:00:00,2021-03-09 16:00:00
1,0016505812,24755,2021-03-09 08:00:00,2021-03-09 16:00:00
1,0016545913,13009,2021-03-09 08:00:00,2021-03-09 16:00:00
1,0016538761,21101,2021-03-09 08:00:00,2021-03-09 16:00:00
1,0016579909,17216,2021-03-09 08:00:00,2021-03-09 16:00:00
1,0016577395,16179,2021-03-09 08:00:00,2021-03-09 16:00:00
1,0016596656,1197,2021-03-10 08:00:00,2021-03-10 16:00:00
1,0016597980,1823,2021-03-10 08:00:00,2021-03-10 16:00:00
1,0016594253,24752,2021-03-10 08:00:00,2021-03-10 16:00:00
